2018-12-25 19:58:29 status unpacked base-files:amd64 9.9+deb9u6
2018-12-25 19:58:29 status unpacked base-files:amd64 9.9+deb9u6
2018-12-25 19:58:29 upgrade base-passwd:amd64 3.5.43 3.5.43
2018-12-25 19:58:29 status half-configured base-passwd:amd64 3.5.43
2018-12-25 19:58:29 status unpacked base-passwd:amd64 3.5.43
2018-12-25 19:58:29 status half-installed base-passwd:amd64 3.5.43
2018-12-25 19:58:29 status half-installed base-passwd:amd64 3.5.43
2018-12-25 19:58:29 status unpacked base-passwd:amd64 3.5.43
2018-12-25 19:58:29 status unpacked base-passwd:amd64 3.5.43
2018-12-25 19:58:29 install bash:amd64 <none> 4.4-5
2018-12-25 19:58:29 status half-installed bash:amd64 4.4-5
2018-12-25 19:58:30 status unpacked bash:amd64 4.4-5
2018-12-25 19:58:30 status unpacked bash:amd64 4.4-5
2018-12-25 19:58:30 install libbz2-1.0:amd64 <none> 1.0.6-8.1
2018-12-25 19:58:30 status half-installed libbz2-1.0:amd64 1.0.6-8.1
2018-12-25 19:58:30 status unpacked libbz2-1.0:amd64 1.0.6-8.1
2018-12-25 19:58:30 status unpacked libbz2-1.0:amd64 1.0.6-8.1
2018-12-25 19:58:30 install libdebconfclient0:amd64 <none> 0.227
2018-12-25 19:58:30 status half-installed libdebconfclient0:amd64 0.227
2018-12-25 19:58:30 status unpacked libdebconfclient0:amd64 0.227
2018-12-25 19:58:30 status unpacked libdebconfclient0:amd64 0.227
2018-12-25 19:58:30 install coreutils:amd64 <none> 8.26-3
2018-12-25 19:58:30 status half-installed coreutils:amd64 8.26-3
2018-12-25 19:58:33 status unpacked coreutils:amd64 8.26-3
2018-12-25 19:58:33 status unpacked coreutils:amd64 8.26-3
2018-12-25 19:58:33 install dash:amd64 <none> 0.5.8-2.4
2018-12-25 19:58:33 status half-installed dash:amd64 0.5.8-2.4
2018-12-25 19:58:33 status unpacked dash:amd64 0.5.8-2.4
2018-12-25 19:58:33 status unpacked dash:amd64 0.5.8-2.4
2018-12-25 19:58:33 install libdb5.3:amd64 <none> 5.3.28-12+deb9u1
2018-12-25 19:58:33 status half-installed libdb5.3:amd64 5.3.28-12+deb9u1
2018-12-25 19:58:33 status unpacked libdb5.3:amd64 5.3.28-12+deb9u1
2018-12-25 19:58:33 status unpacked libdb5.3:amd64 5.3.28-12+deb9u1
2018-12-25 19:58:33 install debconf:all <none> 1.5.61
2018-12-25 19:58:33 status half-installed debconf:all 1.5.61
2018-12-25 19:58:35 status unpacked debconf:all 1.5.61
2018-12-25 19:58:35 status unpacked debconf:all 1.5.61
2018-12-25 19:58:35 install debianutils:amd64 <none> 4.8.1.1
2018-12-25 19:58:35 status half-installed debianutils:amd64 4.8.1.1
2018-12-25 19:58:35 status unpacked debianutils:amd64 4.8.1.1
2018-12-25 19:58:35 status unpacked debianutils:amd64 4.8.1.1
2018-12-25 19:58:35 install diffutils:amd64 <none> 1:3.5-3
2018-12-25 19:58:35 status half-installed diffutils:amd64 1:3.5-3
2018-12-25 19:58:36 status unpacked diffutils:amd64 1:3.5-3
2018-12-25 19:58:36 status unpacked diffutils:amd64 1:3.5-3
2018-12-25 19:58:36 upgrade dpkg:amd64 1.18.25 1.18.25
